country,variable,value
Ireland,2015,4701957
Isle of Man,2015,83232
Israel,2015,8380100
Italy,2015,60730582
Jamaica,2015,2891024
Japan,2015,127141000
Jordan,2015,9266573
Kazakhstan,2015,17542806
Kenya,2015,47878339
Kiribati,2015,110927
"Korea, Dem. People's Rep.",2015,25183832
"Korea, Rep.",2015,51014947
Kosovo,2015,1788196
Kuwait,2015,3835588
Kyrgyz Republic,2015,5956900
Lao PDR,2015,6741160
Latvia,2015,1977527
Lebanon,2015,6532681
Lesotho,2015,2059011
Liberia,2015,4472229
Libya,2015,6418315
Liechtenstein,2015,37465
Lithuania,2015,2904910
Luxembourg,2015,569604
"Macao SAR, China",2015,602093
Madagascar,2015,24234080
Malawi,2015,16745305
Malaysia,2015,30270965
Maldives,2015,454914
Mali,2015,17438772
Malta,2015,445053
Marshall Islands,2015,57444
Mauritania,2015,4046304
Mauritius,2015,1262605
Mexico,2015,121858251
Micronesia,2015,108886
Moldova,2015,2834530
Monaco,2015,37723
Mongolia,2015,2998433
Montenegro,2015,622159
Morocco,2015,34663608
Mozambique,2015,27042001
Myanmar,2015,52680724
Namibia,2015,2314901
Nauru,2015,10374
Nepal,2015,27015033
Netherlands,2015,16939923
New Caledonia,2015,268700
New Zealand,2015,4609400
Nicaragua,2015,6223234
Niger,2015,20001663
Nigeria,2015,181137454
North America,2015,356507139
North Macedonia,2015,2070226
Northern Mariana Islands,2015,55779
Norway,2015,5188607
Oman,2015,4267341
Pakistan,2015,199426953
Palau,2015,17665
Panama,2015,3968490
Papua New Guinea,2015,8107772
Paraguay,2015,6688746
Peru,2015,30470739
Philippines,2015,102113206
Poland,2015,37986412
Portugal,2015,10358076
Puerto Rico,2015,3473232
Qatar,2015,2565708
Romania,2015,19815616
Russian Federation,2015,144096870
Rwanda,2015,11369066
Samoa,2015,193510
San Marino,2015,33270
Sao Tome and Principe,2015,199439
Saudi Arabia,2015,31717676
Senegal,2015,14578450
Serbia,2015,7095383
Seychelles,2015,93419
Sierra Leone,2015,7171909
Singapore,2015,5535002
Sint Maarten (Dutch part),2015,38825
Slovak Republic,2015,5423801
Slovenia,2015,2063531
Solomon Islands,2015,603133
Somalia,2015,13797204
South Africa,2015,55386369
South Sudan,2015,10715657
Spain,2015,46444832
Sri Lanka,2015,20970000
St. Kitts and Nevis,2015,51204
St. Lucia,2015,179131
St. Martin (French part),2015,35865
St. Vincent and the Grenadines,2015,109135
Sudan,2015,38902948
Suriname,2015,559136
Sweden,2015,9799186
Switzerland,2015,8282396
Syrian Arab Republic,2015,17997411
Tajikistan,2015,8454019
Tanzania,2015,51482638
Thailand,2015,68714519
Timor-Leste,2015,1196294
Togo,2015,7323162
Tonga,2015,100780
Trinidad and Tobago,2015,1370332
Tunisia,2015,11179951
Turkiye,2015,78529413
Turkmenistan,2015,5565283
Turks and Caicos Islands,2015,35979
Tuvalu,2015,11099
Uganda,2015,38225447
Ukraine,2015,45154036
United Arab Emirates,2015,9262896
United Kingdom,2015,65116219
United States,2015,320738994
Uruguay,2015,3412013
Uzbekistan,2015,31298900
Vanuatu,2015,271128
"Venezuela, RB",2015,30081827
Vietnam,2015,92677082
Virgin Islands (U.S.),2015,107712
West Bank and Gaza,2015,4270092
"Yemen, Rep.",2015,26497881
Zambia,2015,15879370
Zimbabwe,2015,13814642
Afghanistan,2016,35383028
Albania,2016,2876101
Algeria,2016,40551398
American Samoa,2016,55739
Andorra,2016,77295
Angola,2016,28842482
Antigua and Barbuda,2016,94520
Argentina,2016,43590368
Armenia,2016,2936147
Aruba,2016,104865
Australia,2016,24190907
Austria,2016,8736668
Azerbaijan,2016,9757812
Bahamas,2016,377923
Bahrain,2016,1425793
Bangladesh,2016,157977151
Barbados,2016,285798
Belarus,2016,9469379
Belgium,2016,11331422
Belize,2016,368399
Benin,2016,10872072
Bermuda,2016,64554
Bhutan,2016,736706
Bolivia,2016,11031822
Bosnia and Herzegovina,2016,3386263
Botswana,2016,2159925
Brazil,2016,206163056
British Virgin Islands,2016,29355
Brunei Darussalam,2016,419791
Bulgaria,2016,7127822
Burkina Faso,2016,18646350
Burundi,2016,10488002
Cabo Verde,2016,531140
Cambodia,2016,15766290
Cameroon,2016,23926549
Canada,2016,36109487
Cayman Islands,2016,62564
Central African Republic,2016,4537683
Chad,2016,14561658
Channel Islands,2016,166922
Chile,2016,18209072
China,2016,1387790000
Colombia,2016,48175048
Comoros,2016,795597
"Congo, Dem. Rep.",2016,78789130
"Congo, Rep.",2016,4980996
Costa Rica,2016,4899336
Cote d'Ivoire,2016,23822726
Croatia,2016,4174349
Cuba,2016,11335108
Curacao,2016,159664
Cyprus,2016,1170189
Czech Republic,2016,10566332
Denmark,2016,5728010
Djibouti,2016,929117
Dominica,2016,71307
Dominican Republic,2016,10397738
Ecuador,2016,16491116
"Egypt, Arab Rep.",2016,94447071
El Salvador,2016,6356137
Equatorial Guinea,2016,1215181
Estonia,2016,1315790
Eswatini,2016,1113994
Ethiopia,2016,103603461
Faroe Islands,2016,48173
Fiji,2016,872406
Finland,2016,5495303
France,2016,66724104
French Polynesia,2016,274576
Gabon,2016,2007882
Gambia,2016,2149134
Georgia,2016,3727505
Germany,2016,82348669
Ghana,2016,28481947
Gibraltar,2016,33738
Greece,2016,10775971
Greenland,2016,56186
Grenada,2016,110263
Guam,2016,162948
Guatemala,2016,15827690
Guinea,2016,11738434
Guinea-Bissau,2016,1782434
Guyana,2016,771363
Haiti,2016,10839976
Honduras,2016,9270794
"Hong Kong SAR, China",2016,7336600
Hungary,2016,9814023
Iceland,2016,335439
India,2016,1324517250
Indonesia,2016,261556386
"Iran, Islamic Rep.",2016,79563991
Iraq,2016,36610632
Ireland,2016,4755335
Isle of Man,2016,83296
Israel,2016,8546000
Italy,2016,60627498
Jamaica,2016,2906242
Japan,2016,127076000
Jordan,2016,9554286
Kazakhstan,2016,17794055
Kenya,2016,49051531
Kiribati,2016,112529
"Korea, Dem. People's Rep.",2016,25307665
"Korea, Rep.",2016,51217803
Kosovo,2016,1777557
Kuwait,2016,3956862
Kyrgyz Republic,2016,6079500
Lao PDR,2016,6845848
Latvia,2016,1959537
Lebanon,2016,6714281
Lesotho,2016,2075041
Liberia,2016,4586788
Libya,2016,6492160
Liechtenstein,2016,37655
Lithuania,2016,2868231
Luxembourg,2016,582014
"Macao SAR, China",2016,612824
Madagascar,2016,24894370
Malawi,2016,17205253
Malaysia,2016,30684652
Maldives,2016,475505
Mali,2016,17965448
Malta,2016,455356
Marshall Islands,2016,57723
Mauritania,2016,4163532
Mauritius,2016,1263473
Mexico,2016,123333379
Micronesia,2016,110215
Moldova,2016,2802170
Monaco,2016,38070
Mongolia,2016,3056358
Montenegro,2016,622303
Morocco,2016,35126274
Mozambique,2016,27829930
Myanmar,2016,53045199
Namibia,2016,2358044
Nauru,2016,10474
Nepal,2016,27263430
Netherlands,2016,17030314
New Caledonia,2016,269350
New Zealand,2016,4714100
Nicaragua,2016,6303970
Niger,2016,20788789
Nigeria,2016,185960244
North America,2016,359245796
North Macedonia,2016,2072490
Northern Mariana Islands,2016,56187
Norway,2016,5234519
Oman,2016,4479217
Pakistan,2016,203631356
Palau,2016,17718
Panama,2016,4037073
Papua New Guinea,2016,8271766
Paraguay,2016,6777878
Peru,2016,30926036
Philippines,2016,103663812
Poland,2016,37970087
Portugal,2016,10325452
Puerto Rico,2016,3406672
Qatar,2016,2654379
Romania,2016,19702267
Russian Federation,2016,144342397
Rwanda,2016,11668829
Samoa,2016,194540
San Marino,2016,33503
Sao Tome and Principe,2016,203221
Saudi Arabia,2016,32443443
Senegal,2016,14993514
Serbia,2016,7058322
Seychelles,2016,94677
Sierra Leone,2016,7328846
Singapore,2016,5607283
Sint Maarten (Dutch part),2016,39969
Slovak Republic,2016,5430798
Slovenia,2016,2065042
Solomon Islands,2016,619438
Somalia,2016,14185635
South Africa,2016,56207649
South Sudan,2016,10832520
Spain,2016,46484062
Sri Lanka,2016,21203000
St. Kitts and Nevis,2016,51629
St. Lucia,2016,180028
St. Martin (French part),2016,36061
St. Vincent and the Grenadines,2016,109467
Sudan,2016,39847433
Suriname,2016,564883
Sweden,2016,9923085
Switzerland,2016,8373338
Syrian Arab Republic,2016,17465567
Tajikistan,2016,8663575
Tanzania,2016,53049231
Thailand,2016,68971313
Timor-Leste,2016,1219289
Togo,2016,7509952
Tonga,2016,101143
Trinidad and Tobago,2016,1377563
Tunisia,2016,11303942
Turkiye,2016,79827868
Turkmenistan,2016,5662371
Turks and Caicos Islands,2016,36558
Tuvalu,2016,11232
Uganda,2016,39649173
Ukraine,2016,45004673
United Arab Emirates,2016,9360975
United Kingdom,2016,65611593
United States,2016,323071755
Uruguay,2016,3424139
Uzbekistan,2016,31847900
Vanuatu,2016,278326
"Venezuela, RB",2016,29851249
Vietnam,2016,93640435
Virgin Islands (U.S.),2016,107516
West Bank and Gaza,2016,4367088
"Yemen, Rep.",2016,27168210
Zambia,2016,16363449
Zimbabwe,2016,14030338
Afghanistan,2017,36296111
Albania,2017,2873457
Algeria,2017,41389174
American Samoa,2017,55617
Andorra,2017,76997
Angola,2017,29816769
Antigua and Barbuda,2017,95425
Argentina,2017,44044811
Armenia,2017,2944789
Aruba,2017,105361
Australia,2017,24601860
Austria,2017,8797566
Azerbaijan,2017,9854033
Bahamas,2017,381749
Bahrain,2017,1494077
Bangladesh,2017,159685421
Barbados,2017,286229
Belarus,2017,9458989
Belgium,2017,11375158
Belize,2017,375775
Benin,2017,11175192
Bermuda,2017,63873
Bhutan,2017,745563
Bolivia,2017,11192853
Bosnia and Herzegovina,2017,3351534
Botswana,2017,2205076
Brazil,2017,207833825
British Virgin Islands,2017,29567
Brunei Darussalam,2017,424481
Bulgaria,2017,7075947
Burkina Faso,2017,19193236
Burundi,2017,10827010
Cabo Verde,2017,537499
Cambodia,2017,16009413
Cameroon,2017,24566070
Canada,2017,36545236
Cayman Islands,2017,63382
Central African Republic,2017,4596023
Chad,2017,15016761
Channel Islands,2017,168666
Chile,2017,18470435
China,2017,1396215000
Colombia,2017,48909844
Comoros,2017,813890
"Congo, Dem. Rep.",2017,81398765
"Congo, Rep.",2017,5110701
Costa Rica,2017,4949955
Cote d'Ivoire,2017,24437475
Croatia,2017,4124531
Cuba,2017,11339255
Curacao,2017,160175
Cyprus,2017,1179685
Czech Republic,2017,10594438
Denmark,2017,5764980
Djibouti,2017,944100
Dominica,2017,71460
Dominican Republic,2017,10513111
Ecuador,2017,16785356
"Egypt, Arab Rep.",2017,96442590
El Salvador,2017,6388124
Equatorial Guinea,2017,1262008
Estonia,2017,1317384
Eswatini,2017,1124808
Ethiopia,2017,106399926
Faroe Islands,2017,48326
Fiji,2017,877460
Finland,2017,5508214
France,2017,66918020
French Polynesia,2017,276108
Gabon,2017,2064812
Gambia,2017,2213900
Georgia,2017,3728004
Germany,2017,82657002
Ghana,2017,29121464
Gibraltar,2017,33723
Greece,2017,10754679
Greenland,2017,56171
Grenada,2017,110874
Guam,2017,164281
Guatemala,2017,16087418
Guinea,2017,12067516
Guinea-Bissau,2017,1828146
Guyana,2017,775218
Haiti,2017,10982367
Honduras,2017,9429016
"Hong Kong SAR, China",2017,7393200
Hungary,2017,9787966
Iceland,2017,343400
India,2017,1338676779
Indonesia,2017,264650969
"Iran, Islamic Rep.",2017,80673888
Iraq,2017,37552789
Ireland,2017,4807388
Isle of Man,2017,83610
Israel,2017,8713300
Italy,2017,60536709
Jamaica,2017,2920848
Japan,2017,126972000
Jordan,2017,9785840
Kazakhstan,2017,18037776
Kenya,2017,50221146
Kiribati,2017,114153
"Korea, Dem. People's Rep.",2017,25429816
"Korea, Rep.",2017,51361911
Kosovo,2017,1791003
Kuwait,2017,4056102
Kyrgyz Republic,2017,6198200
Lao PDR,2017,6953031
Latvia,2017,1942248
Lebanon,2017,6819373
Lesotho,2017,2091532
Liberia,2017,4702224
Libya,2017,6580723
Liechtenstein,2017,37805
Lithuania,2017,2828403
Luxembourg,2017,596336
"Macao SAR, China",2017,622578
Madagascar,2017,25570511
Malawi,2017,17670193
Malaysia,2017,31104655
Maldives,2017,496398
Mali,2017,18512429
Malta,2017,467999
Marshall Islands,2017,58053
Mauritania,2017,4282582
Mauritius,2017,1264613
Mexico,2017,124777326
Micronesia,2017,111461
Moldova,2017,2755158
Monaco,2017,38392
Mongolia,2017,3113788
Montenegro,2017,622373
Morocco,2017,35581257
Mozambique,2017,28649007
Myanmar,2017,53382521
Namibia,2017,2402623
Nauru,2017,10577
Nepal,2017,27632682
Netherlands,2017,17131296
New Caledonia,2017,270000
New Zealand,2017,4813600
Nicaragua,2017,6384843
Niger,2017,21602388
Nigeria,2017,190873247
North America,2017,361731237
North Macedonia,2017,2074502
Northern Mariana Islands,2017,56553
Norway,2017,5276968
Oman,2017,4665926
Pakistan,2017,207906210
Palau,2017,17809
Panama,2017,4106764
Papua New Guinea,2017,8438038
Paraguay,2017,6867058
Peru,2017,31444299
Philippines,2017,105172921
Poland,2017,37974826
Portugal,2017,10300300
Puerto Rico,2017,3325286
Qatar,2017,2724727
Romania,2017,19588715
Russian Federation,2017,144496739
Rwanda,2017,11980960
Samoa,2017,195358
San Marino,2017,33671
Sao Tome and Principe,2017,207086
Saudi Arabia,2017,33101183
Senegal,2017,15419354
Serbia,2017,7020858
Seychelles,2017,95843
Sierra Leone,2017,7488427
Singapore,2017,5612253
Sint Maarten (Dutch part),2017,40574
Slovak Republic,2017,5439232
Slovenia,2017,2066388
Solomon Islands,2017,636030
Somalia,2017,14589165
South Africa,2017,57009751
South Sudan,2017,10910774
Spain,2017,46593236
Sri Lanka,2017,21444000
St. Kitts and Nevis,2017,52036
St. Lucia,2017,180955
St. Martin (French part),2017,36569
St. Vincent and the Grenadines,2017,109826
Sudan,2017,40813398
Suriname,2017,570501
Sweden,2017,10057698
Switzerland,2017,8451840
Syrian Arab Republic,2017,17095669
Tajikistan,2017,8880270
Tanzania,2017,54660345
Thailand,2017,69209817
Timor-Leste,2017,1243260
Togo,2017,7698476
Tonga,2017,102002
Trinidad and Tobago,2017,1384060
Tunisia,2017,11433438
Turkiye,2017,81116451
Turkmenistan,2017,5757667
Turks and Caicos Islands,2017,37116
Tuvalu,2017,11365
Uganda,2017,41166588
Ukraine,2017,44831135
United Arab Emirates,2017,9487206
United Kingdom,2017,66058859
United States,2017,325122128
Uruguay,2017,3436645
Uzbekistan,2017,32388600
Vanuatu,2017,285499
"Venezuela, RB",2017,29402480
Vietnam,2017,94600643
Virgin Islands (U.S.),2017,107281
West Bank and Gaza,2017,4454805
"Yemen, Rep.",2017,27834811
Zambia,2017,16853608
Zimbabwe,2017,14236599
Afghanistan,2018,37171922
Albania,2018,2866376
Algeria,2018,42228415
American Samoa,2018,55461
Andorra,2018,77008
Angola,2018,30809787
Antigua and Barbuda,2018,96282
Argentina,2018,44494502
Armenia,2018,2951741
Aruba,2018,105846
Australia,2018,24982688
Austria,2018,8840521
Azerbaijan,2018,9939771
Bahamas,2018,385635
Bahrain,2018,1569440
Bangladesh,2018,161376713
Barbados,2018,286640
Belarus,2018,9438785
Belgium,2018,11427054
Belize,2018,383071
Benin,2018,11485035
Bermuda,2018,63918
Bhutan,2018,754396
Bolivia,2018,11353140
Bosnia and Herzegovina,2018,3323929
Botswana,2018,2254067
Brazil,2018,209469320
British Virgin Islands,2018,29795
Brunei Darussalam,2018,428960
Bulgaria,2018,7025037
Burkina Faso,2018,19751466
Burundi,2018,11175379
Cabo Verde,2018,543764
Cambodia,2018,16249795
Cameroon,2018,25216261
Canada,2018,37065084
Cayman Islands,2018,64172
Central African Republic,2018,4666375
Chad,2018,15477727
Channel Islands,2018,170496
Chile,2018,18729166
China,2018,1402760000
Colombia,2018,49661056
Comoros,2018,832322
"Congo, Dem. Rep.",2018,84068092
"Congo, Rep.",2018,5244363
Costa Rica,2018,4999443
Cote d'Ivoire,2018,25069226
Croatia,2018,4087843
Cuba,2018,11338146
Curacao,2018,159336
Cyprus,2018,1189262
Czech Republic,2018,10629928
Denmark,2018,5793636
Djibouti,2018,958923
Dominica,2018,71626
Dominican Republic,2018,10627147
Ecuador,2018,17084359
"Egypt, Arab Rep.",2018,98423602
El Salvador,2018,6420740
Equatorial Guinea,2018,1308966
Estonia,2018,1321977
Eswatini,2018,1136274
Ethiopia,2018,109224410
Faroe Islands,2018,48497
Fiji,2018,883490
Finland,2018,5515525
France,2018,67101930
French Polynesia,2018,277673
Gabon,2018,2119275
Gambia,2018,2280092
Georgia,2018,3726549
Germany,2018,82905782
Ghana,2018,29767108
Gibraltar,2018,33715
Greece,2018,10732882
Greenland,2018,56023
Grenada,2018,111449
Guam,2018,165770
Guatemala,2018,16346950
Guinea,2018,12414292
Guinea-Bissau,2018,1874304
Guyana,2018,779007
Haiti,2018,11123183
Honduras,2018,9587523
"Hong Kong SAR, China",2018,7452600
Hungary,2018,9775564
Iceland,2018,352721
India,2018,1352642283
Indonesia,2018,267670549
"Iran, Islamic Rep.",2018,81800204
Iraq,2018,38433604
Ireland,2018,4867316
Isle of Man,2018,84073
Israel,2018,8882800
Italy,2018,60421760
Jamaica,2018,2934853
Japan,2018,126811000
Jordan,2018,9965322
Kazakhstan,2018,18276452
Kenya,2018,51392570
Kiribati,2018,115842
"Korea, Dem. People's Rep.",2018,25549606
"Korea, Rep.",2018,51585058
Kosovo,2018,1797085
Kuwait,2018,4137314
Kyrgyz Republic,2018,6322800
Lao PDR,2018,7061498
Latvia,2018,1927174
Lebanon,2018,6859408
Lesotho,2018,2108327
Liberia,2018,4818976
Libya,2018,6678565
Liechtenstein,2018,37918
Lithuania,2018,2801543
Luxembourg,2018,607950
"Macao SAR, China",2018,631633
Madagascar,2018,26262313
Malawi,2018,18143215
Malaysia,2018,31528033
Maldives,2018,515704
Mali,2018,19077755
Malta,2018,484630
Marshall Islands,2018,58412
Mauritania,2018,4403312
Mauritius,2018,1265303
Mexico,2018,126190782
Micronesia,2018,112640
Moldova,2018,2708214
Monaco,2018,38682
Mongolia,2018,3170214
Montenegro,2018,622227
Morocco,2018,36029089
Mozambique,2018,29496009
Myanmar,2018,53708318
Namibia,2018,2448300
Nauru,2018,10678
Nepal,2018,28095712
Netherlands,2018,17231624
New Caledonia,2018,270650
New Zealand,2018,4900600
Nicaragua,2018,6465502
Niger,2018,22442831
Nigeria,2018,195874685
North America,2018,363967201
North Macedonia,2018,2076217
Northern Mariana Islands,2018,56889
Norway,2018,5311916
Oman,2018,4829476
Pakistan,2018,212228288
Palau,2018,17911
Panama,2018,4176868
Papua New Guinea,2018,8606324
Paraguay,2018,6956069
Peru,2018,31989265
Philippines,2018,106651394
Poland,2018,37974750
Portugal,2018,10283822
Puerto Rico,2018,3193354
Qatar,2018,2781682
Romania,2018,19473970
Russian Federation,2018,144477859
Rwanda,2018,12301969
Samoa,2018,196128
San Marino,2018,33784
Sao Tome and Principe,2018,211032
Saudi Arabia,2018,33702757
Senegal,2018,15854324
Serbia,2018,6982604
Seychelles,2018,96762
Sierra Leone,2018,7650149
Singapore,2018,5638676
Sint Maarten (Dutch part),2018,40895
Slovak Republic,2018,5446771
Slovenia,2018,2073894
Solomon Islands,2018,652856
Somalia,2018,15008225
South Africa,2018,57792520
South Sudan,2018,10975924
Spain,2018,46797754
Sri Lanka,2018,21670000
St. Kitts and Nevis,2018,52438
St. Lucia,2018,181890
St. Martin (French part),2018,37264
St. Vincent and the Grenadines,2018,110210
Sudan,2018,41801532
Suriname,2018,575987
Sweden,2018,10175214
Switzerland,2018,8514329
Syrian Arab Republic,2018,16945062
Tajikistan,2018,9100847
Tanzania,2018,56313444
Thailand,2018,69428454
Timor-Leste,2018,1267975
Togo,2018,7889095
Tonga,2018,103199
Trinidad and Tobago,2018,1389841
Tunisia,2018,11565203
Turkiye,2018,82340090
Turkmenistan,2018,5850902
Turks and Caicos Islands,2018,37667
Tuvalu,2018,11505
Uganda,2018,42729032
Ukraine,2018,44622518
United Arab Emirates,2018,9630966
United Kingdom,2018,66460344
United States,2018,326838199
Uruguay,2018,3449290
Uzbekistan,2018,32956100
Vanuatu,2018,292675
"Venezuela, RB",2018,28887117
Vietnam,2018,95545959
Virgin Islands (U.S.),2018,107001
West Bank and Gaza,2018,4569087
"Yemen, Rep.",2018,28498683
Zambia,2018,17351714
Zimbabwe,2018,14438812
Afghanistan,2019,38041757
Albania,2019,2854191
Algeria,2019,43053054
American Samoa,2019,55312
Andorra,2019,77146
Angola,2019,31825299
Antigua and Barbuda,2019,97115
Argentina,2019,44938712
Armenia,2019,2957728
Aruba,2019,106310
Australia,2019,25365745
Austria,2019,8879920
Azerbaijan,2019,10024283
Bahamas,2019,389486
Bahrain,2019,1641164
Bangladesh,2019,163046173
Barbados,2019,287021
Belarus,2019,9419758
Belgium,2019,11488980
Belize,2019,390351
Benin,2019,11801151
Bermuda,2019,63911
Bhutan,2019,763094
Bolivia,2019,11513102
Bosnia and Herzegovina,2019,3300998
Botswana,2019,2303703
Brazil,2019,211049519
British Virgin Islands,2019,30033
Brunei Darussalam,2019,433296
Bulgaria,2019,6975761
Burkina Faso,2019,20321383
Burundi,2019,11530577
Cabo Verde,2019,549936
Cambodia,2019,16486542
Cameroon,2019,25876387
Canada,2019,37601230
Cayman Islands,2019,64948
Central African Republic,2019,4745179
Chad,2019,15946882
Channel Islands,2019,172264
Chile,2019,18952035
China,2019,1407745000
Colombia,2019,50339443
Comoros,2019,850891
"Congo, Dem. Rep.",2019,86790568
"Congo, Rep.",2019,5380504
Costa Rica,2019,5047561
Cote d'Ivoire,2019,25716554
Croatia,2019,4065253
Cuba,2019,11333484
Curacao,2019,157441
Cyprus,2019,1198574
Czech Republic,2019,10671870
Denmark,2019,5814422
Djibouti,2019,973557
Dominica,2019,71808
Dominican Republic,2019,10738957
Ecuador,2019,17373657
"Egypt, Arab Rep.",2019,100388076
El Salvador,2019,6453550
Equatorial Guinea,2019,1355982
Estonia,2019,1326855
Eswatini,2019,1148133
Ethiopia,2019,112078727
Faroe Islands,2019,48677
Fiji,2019,889955
Finland,2019,5521606
France,2019,67248926
French Polynesia,2019,279285
Gabon,2019,2172578
Gambia,2019,2347696
Georgia,2019,3720161
Germany,2019,83092962
Ghana,2019,30417858
Gibraltar,2019,33706
Greece,2019,10721582
Greenland,2019,56225
Grenada,2019,112002
Guam,2019,167295
Guatemala,2019,16604026
Guinea,2019,12771246
Guinea-Bissau,2019,1920917
Guyana,2019,782775
Haiti,2019,11263079
Honduras,2019,9746115
"Hong Kong SAR, China",2019,7507900
Hungary,2019,9771141
Iceland,2019,360563
India,2019,1366417756
Indonesia,2019,270625567
"Iran, Islamic Rep.",2019,82913893
Iraq,2019,39309789
Ireland,2019,4934340
Isle of Man,2019,84589
Israel,2019,9054000
Italy,2019,59729081
Jamaica,2019,2948277
Japan,2019,126633000
Jordan,2019,10101697
Kazakhstan,2019,18513673
Kenya,2019,52573967
Kiribati,2019,117608
"Korea, Dem. People's Rep.",2019,25666158
"Korea, Rep.",2019,51764822
Kosovo,2019,1788878
Kuwait,2019,4207077
Kyrgyz Republic,2019,6456200
Lao PDR,2019,7169456
Latvia,2019,1913822
Lebanon,2019,6855709
Lesotho,2019,2125267
Liberia,2019,4937374
Libya,2019,6777453
Liechtenstein,2019,38020
Lithuania,2019,2794137
Luxembourg,2019,620001
"Macao SAR, China",2019,640446
Madagascar,2019,26969306
Malawi,2019,18628749
Malaysia,2019,31949789
Maldives,2019,530957
Mali,2019,19658023
Malta,2019,504062
Marshall Islands,2019,58791
Mauritania,2019,4525698
Mauritius,2019,1265711
Mexico,2019,127575529
Micronesia,2019,113811
Moldova,2019,2664974
Monaco,2019,38967
Mongolia,2019,3225166
Montenegro,2019,622028
Morocco,2019,36471766
Mozambique,2019,30366043
Myanmar,2019,54045422
Namibia,2019,2494524
Nauru,2019,10764
Nepal,2019,28608715
Netherlands,2019,17344874
New Caledonia,2019,271300
New Zealand,2019,4979200
Nicaragua,2019,6545503
Niger,2019,23310719
Nigeria,2019,200963603
North America,2019,365995094
North Macedonia,2019,2076694
Northern Mariana Islands,2019,57213
Norway,2019,5347896
Oman,2019,4974992
Pakistan,2019,216565317
Palau,2019,18001
Panama,2019,4246440
Papua New Guinea,2019,8776119
Paraguay,2019,7044639
Peru,2019,32510462
Philippines,2019,108116622
Poland,2019,37965475
Portugal,2019,10286263
Puerto Rico,2019,3193694
Qatar,2019,2832071
Romania,2019,19371648
Russian Federation,2019,144406261
Rwanda,2019,12626938
Samoa,2019,197093
San Marino,2019,33864
Sao Tome and Principe,2019,215048
Saudi Arabia,2019,34268529
Senegal,2019,16296362
Serbia,2019,6945235
Seychelles,2019,97625
Sierra Leone,2019,7813207
Singapore,2019,5703569
Sint Maarten (Dutch part),2019,41608
Slovak Republic,2019,5454147
Slovenia,2019,2088385
Solomon Islands,2019,669821
Somalia,2019,15442906
South Africa,2019,58558267
South Sudan,2019,11062114
Spain,2019,47134837
Sri Lanka,2019,21803000
St. Kitts and Nevis,2019,52834
St. Lucia,2019,182795
St. Martin (French part),2019,38002
St. Vincent and the Grenadines,2019,110593
Sudan,2019,42813237
Suriname,2019,581363
Sweden,2019,10278887
Switzerland,2019,8575280
Syrian Arab Republic,2019,17070132
Tajikistan,2019,9321023
Tanzania,2019,58005461
Thailand,2019,69625581
Timor-Leste,2019,1293120
Togo,2019,8082359
Tonga,2019,104497
Trinidad and Tobago,2019,1394969
